ID;Nom;Statut;Etape;Pipeline;Montant HT;Probabilite %;Date cloture;Client;Email client;Responsable;Tags;Source;Date creation;Description
6047355;92-SCCV ASTRE-NANTERRE-CHEMINEMENT-202204;won;Devis chaud;Commercial;134990.00;90;;;;;;Client existant;2022-04-12;
6050022;98-GP CONSTRUCTION-MONACO-PLACE DU PALAIS-202204;closed;Identifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-13;
6056063;77-K&B-Le-Châtelet-en-Brie-Altize + Panneaux logo-202204;won;Devis tiède;Commercial;6300.00;60;;;;;;Commercial / Partenaire;2022-04-14;
6056312;75-MAESTRIO-PARIS-BA&SH RUE DES ARCHIVES-202204;closed;Devis froid;Commercial;24509.54;30;;;;;;Appel entrant / Emailing / Marketing;2022-04-14;
6058904;06-AEI Promotion-Grasse-Habillage Palissade-202204;closed;Qualifié;Commercial;0.00;0;;;;;;Commercial / Partenaire;2022-04-14;
6067413;93-Iceberg-Montreuil-Passerelle rue Elsa Triolet-202204;lost;Devis froid;Commercial;30672.72;30;;;;;;Client existant;2022-04-18;
6069554;00-FCZA-00-TOTEM LIZ-202204;closed;Identifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-19;
6069629;69-ALGECO-LYON-UNIVERSITE LYON -202204;won;Devis froid;Commercial;1340.00;30;;;;;;Client existant;2022-04-19;
6070665;92-Mairie-Montrouge-Totem-202204;closed;Qualifié;Commercial;3419.26;0;;;;;;Commercial / Partenaire;2022-04-19;
6073175;92-Seqens-Nanterre-Ponant-Levant-Totems-202204;lost;Devis froid;Commercial;4691.64;30;;;;;;Commercial / Partenaire;2022-04-19;
6073188;93-Seqens-Aulnay-sous-bois-Jupiter-Totems-202204;won;Devis tiède;Commercial;3655.00;60;;;;;;Commercial / Partenaire;2022-04-19;
6073218;75-SUNDAYAPP-PARIS-TOTEM HIPPODROME-202204;closed;Qualifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-19;
6078302;BE-00-DHERTE-00-ALTIZE-202204;closed;Identifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-20;
6078493;78-NOJAC-HOUILLES-TOILE-202204;closed;Identifié;Commercial;12927.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-20;
6081272;78-Pierreval-Aubergenville-4x3-202204;won;Devis froid;Commercial;2919.80;30;;;;;;Commercial / Partenaire;2022-04-21;
6081430;44-I COMMUNICATION-NANTES-MODULIZE-202204;closed;Qualifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-21;
6081555;75-Arcade-Vyv Promotion-IDF-Altize-202204;closed;Budget;Commercial;37750.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-21;
6090993;92-URW-La Défense-Palissade Lightwell-202204;won;Devis froid;Commercial;10937.50;30;;;;;;Client existant;2022-04-22;
6093320;92-Mairie-Levallois-Habillage mairie-202204;closed;Qualifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-22;
6098489;75-CE FESTIVAL DE CINEMA-PARIS-TOTEM-202204;lost;Devis froid;Commercial;7308.00;30;;;;;;Appel entrant / Emailing / Marketing;2022-04-25;
6103550;44-ALGECO-LA CHEVROLIERE-SIGNALETIQUE-202204;won;Devis froid;Commercial;1448.06;30;;;;;;Client existant;2022-04-26;
6104942;LU-CREAHAUS-BRAHMS-BACHE-202204;lost;Devis froid;Commercial;39836.60;30;;;;;;Appel entrant / Emailing / Marketing;2022-04-26;
6107060;92-Mairie-Montrouge-Chantier Peri Ginoux Gautier-202204;lost;Devis froid;Commercial;10878.75;30;;;;;;Commercial / Partenaire;2022-04-26;
6112140;13-Algeco-Marseille-Module siège-202204;lost;Devis tiède;Commercial;3740.00;60;;;;;;Client existant;2022-04-27;
6112274;92-Algeco-La Défense-vitre entrée-202204;won;Devis froid;Commercial;580.00;30;;;;;;Client existant;2022-04-27;
6113503;91-Arcade Promotion-Tigery-Altize-202204;cancelled;Budget;Commercial;7095.00;0;;;;;;Commercial / Partenaire;2022-04-27;
6113679;28-P2i-Mainvilliers-Habillage Palissade-202207;lost;Devis froid;Commercial;4492.05;30;;;;;;Commercial / Partenaire;2022-04-27;
6114440;75-Tour Eiffel-Paris-AO Tentes et modules-202204;closed;Identifié;Commercial;0.00;0;;;;;;Bouche à oreille / Prescription;2022-04-27;
6115484;53-ALGECO-MAYENNES-ANTI BLAST-202204;lost;Devis froid;Commercial;1809.00;30;;;;;;Aucune;2022-04-28;
6115554;28-ALGECO-St Lubin des Joncherets-MODULIZE-202204;lost;Devis froid;Commercial;1340.00;30;;;;;;Client existant;2022-04-28;
6121275;92-Iceberg-Issy-Keiko Part 2-202204;lost;Devis froid;Commercial;48680.75;30;;;;;;Client existant;2022-04-29;
6122062;75-Surfaces-Paris-Intervention Reille-202204;lost;Devis tiède;Commercial;1070.00;60;;;;;;Client existant;2022-04-29;
6130347;41-SNB-BLOIS-ALTIZE-202205;lost;Devis froid;Commercial;6165.00;30;;;;;;Appel entrant / Emailing / Marketing;2022-05-02;
